productkey,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category
84,nt_wireless_bluetooth_stereo_headphones_m402_red,northwind_traders,red,45.98,99.99,106,bluetooth_headphones,1,audio
85,nt_wireless_bluetooth_stereo_headphones_m402_green,northwind_traders,green,45.98,99.99,106,bluetooth_headphones,1,audio
86,nt_wireless_bluetooth_stereo_headphones_m402_black,northwind_traders,black,45.98,99.99,106,bluetooth_headphones,1,audio
87,nt_wireless_bluetooth_stereo_headphones_m402_purple,northwind_traders,purple,45.98,99.99,106,bluetooth_headphones,1,audio
88,nt_wireless_transmitter_and_bluetooth_headphones_m150_black,northwind_traders,black,49.69,149.99,106,bluetooth_headphones,1,audio
89,nt_wireless_transmitter_and_bluetooth_headphones_m150_blue,northwind_traders,blue,49.69,149.99,106,bluetooth_headphones,1,audio
90,nt_wireless_transmitter_and_bluetooth_headphones_m150_silver,northwind_traders,silver,49.69,149.99,106,bluetooth_headphones,1,audio
91,nt_wireless_transmitter_and_bluetooth_headphones_m150_green,northwind_traders,green,49.69,149.99,106,bluetooth_headphones,1,audio
92,nt_wireless_transmitter_and_bluetooth_headphones_m150_red,northwind_traders,red,49.69,149.99,106,bluetooth_headphones,1,audio
93,wwi_stereo_bluetooth_headphones_e1000_blue,wide_world_importers,blue,34.36,67.4,106,bluetooth_headphones,1,audio
94,wwi_stereo_bluetooth_headphones_e1000_black,wide_world_importers,black,34.36,67.4,106,bluetooth_headphones,1,audio
95,wwi_stereo_bluetooth_headphones_e1000_silver,wide_world_importers,silver,34.36,67.4,106,bluetooth_headphones,1,audio
96,wwi_stereo_bluetooth_headphones_e1000_white,wide_world_importers,white,34.36,67.4,106,bluetooth_headphones,1,audio
97,wwi_stereo_bluetooth_headphones_e1000_green,wide_world_importers,green,34.36,67.4,106,bluetooth_headphones,1,audio
98,wwi_wireless_bluetooth_stereo_headphones_m170_silver,wide_world_importers,silver,55.18,120.0,106,bluetooth_headphones,1,audio
99,wwi_wireless_bluetooth_stereo_headphones_m170_black,wide_world_importers,black,55.18,120.0,106,bluetooth_headphones,1,audio
100,wwi_wireless_bluetooth_stereo_headphones_m170_white,wide_world_importers,white,55.18,120.0,106,bluetooth_headphones,1,audio
101,wwi_wireless_bluetooth_stereo_headphones_m170_pink,wide_world_importers,pink,55.18,120.0,106,bluetooth_headphones,1,audio
102,wwi_wireless_bluetooth_stereo_headphones_m270_silver,wide_world_importers,silver,52.88,115.0,106,bluetooth_headphones,1,audio
103,wwi_wireless_bluetooth_stereo_headphones_m270_black,wide_world_importers,black,52.88,115.0,106,bluetooth_headphones,1,audio
104,wwi_wireless_bluetooth_stereo_headphones_m270_white,wide_world_importers,white,52.88,115.0,106,bluetooth_headphones,1,audio
105,wwi_wireless_bluetooth_stereo_headphones_m270_pink,wide_world_importers,pink,52.88,115.0,106,bluetooth_headphones,1,audio
106,wwi_stereo_bluetooth_headphones_new_generation_m370_black,wide_world_importers,black,61.16,132.99,106,bluetooth_headphones,1,audio
107,wwi_stereo_bluetooth_headphones_new_generation_m370_white,wide_world_importers,white,61.16,132.99,106,bluetooth_headphones,1,audio
108,wwi_stereo_bluetooth_headphones_new_generation_m370_yellow,wide_world_importers,yellow,61.16,132.99,106,bluetooth_headphones,1,audio
109,wwi_stereo_bluetooth_headphones_new_generation_m370_orange,wide_world_importers,orange,61.16,132.99,106,bluetooth_headphones,1,audio
110,wwi_stereo_bluetooth_headphones_new_generation_m370_blue,wide_world_importers,blue,61.16,132.99,106,bluetooth_headphones,1,audio
111,wwi_wireless_transmitter_and_bluetooth_headphones_x250_black,wide_world_importers,black,82.83,249.99,106,bluetooth_headphones,1,audio
112,wwi_wireless_transmitter_and_bluetooth_headphones_x250_blue,wide_world_importers,blue,82.83,249.99,106,bluetooth_headphones,1,audio
113,wwi_wireless_transmitter_and_bluetooth_headphones_x250_white,wide_world_importers,white,82.83,249.99,106,bluetooth_headphones,1,audio
114,wwi_wireless_transmitter_and_bluetooth_headphones_x250_red,wide_world_importers,red,82.83,249.99,106,bluetooth_headphones,1,audio
115,wwi_wireless_transmitter_and_bluetooth_headphones_x250_silver,wide_world_importers,silver,82.83,249.99,106,bluetooth_headphones,1,audio
116,adventure_works_20_crt_tv_e15_silver,adventure_works,silver,86.67,169.99,201,televisions,2,tv_and_video
117,adventure_works_20_crt_tv_e15_black,adventure_works,black,86.67,169.99,201,televisions,2,tv_and_video
118,adventure_works_20_crt_tv_e15_white,adventure_works,white,86.67,169.99,201,televisions,2,tv_and_video
119,adventure_works_13_color_tv_e25_silver,adventure_works,silver,61.17,119.99,201,televisions,2,tv_and_video
120,adventure_works_13_color_tv_e25_black,adventure_works,black,61.17,119.99,201,televisions,2,tv_and_video
121,adventure_works_13_color_tv_e25_white,adventure_works,white,61.17,119.99,201,televisions,2,tv_and_video
122,adventure_works_19_portable_lcd_hdtv_m110_silver,adventure_works,silver,128.76,279.99,201,televisions,2,tv_and_video
123,adventure_works_19_portable_lcd_hdtv_m110_black,adventure_works,black,128.76,279.99,201,televisions,2,tv_and_video
124,adventure_works_19_portable_lcd_hdtv_m110_white,adventure_works,white,128.76,279.99,201,televisions,2,tv_and_video
125,adventure_works_19_color_digital_tv_e35_silver,adventure_works,silver,73.11,143.4,201,televisions,2,tv_and_video
126,adventure_works_19_color_digital_tv_e35_black,adventure_works,black,73.11,143.4,201,televisions,2,tv_and_video
127,adventure_works_19_color_digital_tv_e35_white,adventure_works,white,73.11,143.4,201,televisions,2,tv_and_video
128,adventure_works_19_color_digital_tv_e35_brown,adventure_works,brown,73.11,143.4,201,televisions,2,tv_and_video
129,adventure_works_20_analog_crt_tv_e45_silver,adventure_works,silver,101.97,200.0,201,televisions,2,tv_and_video
130,adventure_works_20_analog_crt_tv_e45_black,adventure_works,black,101.97,200.0,201,televisions,2,tv_and_video
131,adventure_works_20_analog_crt_tv_e45_white,adventure_works,white,101.97,200.0,201,televisions,2,tv_and_video
132,adventure_works_20_analog_crt_tv_e45_brown,adventure_works,brown,101.97,200.0,201,televisions,2,tv_and_video
133,adventure_works_20_lcd_hdtv_m120_silver,adventure_works,silver,160.93,349.95,201,televisions,2,tv_and_video
134,adventure_works_20_lcd_hdtv_m120_black,adventure_works,black,160.93,349.95,201,televisions,2,tv_and_video
135,adventure_works_20_lcd_hdtv_m120_white,adventure_works,white,160.93,349.95,201,televisions,2,tv_and_video
136,adventure_works_20_lcd_hdtv_m120_brown,adventure_works,brown,160.93,349.95,201,televisions,2,tv_and_video
137,adventure_works_32_lcd_hdtv_m130_silver,adventure_works,silver,229.93,499.99,201,televisions,2,tv_and_video
138,adventure_works_32_lcd_hdtv_m130_black,adventure_works,black,229.93,499.99,201,televisions,2,tv_and_video
139,adventure_works_32_lcd_hdtv_m130_white,adventure_works,white,229.93,499.99,201,televisions,2,tv_and_video
140,adventure_works_32_lcd_hdtv_m130_brown,adventure_works,brown,229.93,499.99,201,televisions,2,tv_and_video
141,adventure_works_156_lcd_tv_m130w_silver,adventure_works,silver,152.94,299.99,201,televisions,2,tv_and_video
142,adventure_works_156_lcd_tv_m130w_black,adventure_works,black,152.94,299.99,201,televisions,2,tv_and_video
143,adventure_works_156_lcd_tv_m130w_white,adventure_works,white,152.94,299.99,201,televisions,2,tv_and_video
144,adventure_works_156_lcd_tv_m130w_brown,adventure_works,brown,152.94,299.99,201,televisions,2,tv_and_video
145,adventure_works_52_lcd_hdtv_x590_silver,adventure_works,silver,960.82,2899.99,201,televisions,2,tv_and_video
146,adventure_works_52_lcd_hdtv_x590_black,adventure_works,black,960.82,2899.99,201,televisions,2,tv_and_video
147,adventure_works_52_lcd_hdtv_x590_white,adventure_works,white,960.82,2899.99,201,televisions,2,tv_and_video
148,adventure_works_52_lcd_hdtv_x590_brown,adventure_works,brown,960.82,2899.99,201,televisions,2,tv_and_video
149,adventure_works_40_lcd_hdtv_m690_silver,adventure_works,silver,392.6,1184.97,201,televisions,2,tv_and_video
150,adventure_works_40_lcd_hdtv_m690_black,adventure_works,black,392.6,1184.97,201,televisions,2,tv_and_video
151,adventure_works_40_lcd_hdtv_m690_white,adventure_works,white,392.6,1184.97,201,televisions,2,tv_and_video
152,adventure_works_40_lcd_hdtv_m690_brown,adventure_works,brown,392.6,1184.97,201,televisions,2,tv_and_video
153,adventure_works_26_720p_lcd_hdtv_m140_silver,adventure_works,silver,216.12,469.97,201,televisions,2,tv_and_video
154,adventure_works_26_720p_lcd_hdtv_m140_black,adventure_works,black,216.12,469.97,201,televisions,2,tv_and_video
155,adventure_works_26_720p_lcd_hdtv_m140_white,adventure_works,white,216.12,469.97,201,televisions,2,tv_and_video
156,adventure_works_26_720p_lcd_hdtv_m140_brown,adventure_works,brown,216.12,469.97,201,televisions,2,tv_and_video
157,adventure_works_37_1080p_lcd_hdtv_m150w_silver,adventure_works,silver,505.85,1099.99,201,televisions,2,tv_and_video
158,adventure_works_37_1080p_lcd_hdtv_m150w_black,adventure_works,black,505.85,1099.99,201,televisions,2,tv_and_video
159,adventure_works_37_1080p_lcd_hdtv_m150w_white,adventure_works,white,505.85,1099.99,201,televisions,2,tv_and_video
160,adventure_works_37_1080p_lcd_hdtv_m150w_brown,adventure_works,brown,505.85,1099.99,201,televisions,2,tv_and_video
161,adventure_works_52_lcd_hdtv_x790w_silver,adventure_works,silver,527.53,1592.2,201,televisions,2,tv_and_video
162,adventure_works_52_lcd_hdtv_x790w_black,adventure_works,black,527.53,1592.2,201,televisions,2,tv_and_video
163,adventure_works_52_lcd_hdtv_x790w_white,adventure_works,white,527.53,1592.2,201,televisions,2,tv_and_video
164,adventure_works_52_lcd_hdtv_x790w_brown,adventure_works,brown,527.53,1592.2,201,televisions,2,tv_and_video
165,adventure_works_42_lcd_hdtv_m55_black,adventure_works,black,389.26,763.51,201,televisions,2,tv_and_video
166,sv_16xdvd_m300_black,southridge_video,black,54.72,119.0,202,vcd_dvd,2,tv_and_video
167,sv_8xdvd_e100_black,southridge_video,black,35.18,69.0,202,vcd_dvd,2,tv_and_video
168,sv_16xdvd_m310_black,southridge_video,black,59.32,129.0,202,vcd_dvd,2,tv_and_video
169,sv_16xdvd_m320_black,southridge_video,black,54.72,119.0,202,vcd_dvd,2,tv_and_video
170,sv_16xdvd_m330_black,southridge_video,black,50.13,109.0,202,vcd_dvd,2,tv_and_video
171,sv_16xdvd_e340_black,southridge_video,black,45.53,99.0,202,vcd_dvd,2,tv_and_video
172,sv_22xdvd_x680_black,southridge_video,black,55.99,169.0,202,vcd_dvd,2,tv_and_video
173,sv_8xdvd_e120_black,southridge_video,black,45.83,89.9,202,vcd_dvd,2,tv_and_video
174,sv_22xdvd_m600_black,southridge_video,black,43.04,129.9,202,vcd_dvd,2,tv_and_video
175,sv_16xdvd_m350_black,southridge_video,black,53.76,116.9,202,vcd_dvd,2,tv_and_video
176,sv_16xdvd_m360_black,southridge_video,black,58.36,126.9,202,vcd_dvd,2,tv_and_video
177,sv_8xdvd_e130_black,southridge_video,black,29.01,56.9,202,vcd_dvd,2,tv_and_video
178,sv_8xdvd_e140_black,southridge_video,black,33.65,66.0,202,vcd_dvd,2,tv_and_video
179,sv_16xdvd_m300_silver,southridge_video,silver,54.72,119.0,202,vcd_dvd,2,tv_and_video
180,sv_8xdvd_e100_silver,southridge_video,silver,35.18,69.0,202,vcd_dvd,2,tv_and_video
181,sv_16xdvd_m310_silver,southridge_video,silver,59.32,129.0,202,vcd_dvd,2,tv_and_video
182,sv_16xdvd_m320_silver,southridge_video,silver,54.72,119.0,202,vcd_dvd,2,tv_and_video
183,sv_16xdvd_m330_silver,southridge_video,silver,50.13,109.0,202,vcd_dvd,2,tv_and_video
184,sv_16xdvd_e340_silver,southridge_video,silver,45.53,99.0,202,vcd_dvd,2,tv_and_video
185,sv_22xdvd_x680_silver,southridge_video,silver,55.99,169.0,202,vcd_dvd,2,tv_and_video
186,sv_8xdvd_e120_silver,southridge_video,silver,45.83,89.9,202,vcd_dvd,2,tv_and_video
187,sv_22xdvd_m600_silver,southridge_video,silver,43.04,129.9,202,vcd_dvd,2,tv_and_video
188,sv_16xdvd_m350_silver,southridge_video,silver,53.76,116.9,202,vcd_dvd,2,tv_and_video
189,sv_16xdvd_m360_silver,southridge_video,silver,58.36,126.9,202,vcd_dvd,2,tv_and_video
190,sv_8xdvd_e130_silver,southridge_video,silver,29.01,56.9,202,vcd_dvd,2,tv_and_video
191,sv_8xdvd_e140_silver,southridge_video,silver,33.65,66.0,202,vcd_dvd,2,tv_and_video
192,litware_home_theater_system_41_channel_m410_black,litware,black,275.46,599.0,203,home_theater_system,2,tv_and_video
193,litware_home_theater_system_51_channel_m511_black,litware,black,321.44,699.0,203,home_theater_system,2,tv_and_video
194,litware_home_theater_system_21_channel_e210_black,litware,black,152.44,299.0,203,home_theater_system,2,tv_and_video
195,litware_home_theater_system_51_channel_m510_black,litware,black,293.85,639.0,203,home_theater_system,2,tv_and_video
196,litware_home_theater_system_21_channel_e211_black,litware,black,137.6,269.9,203,home_theater_system,2,tv_and_video
197,litware_home_theater_system_21_channel_e212_black,litware,black,152.9,299.9,203,home_theater_system,2,tv_and_video
198,litware_home_theater_system_41_channel_m411_black,litware,black,275.46,599.0,203,home_theater_system,2,tv_and_video
199,litware_home_theater_system_41_channel_m412_black,litware,black,261.66,569.0,203,home_theater_system,2,tv_and_video
200,litware_home_theater_system_41_channel_m413_black,litware,black,252.47,549.0,203,home_theater_system,2,tv_and_video
201,litware_home_theater_system_51_channel_m512_black,litware,black,321.44,699.0,203,home_theater_system,2,tv_and_video
202,litware_home_theater_system_51_channel_m513_black,litware,black,316.85,689.0,203,home_theater_system,2,tv_and_video
203,litware_home_theater_system_71_channel_m710_black,litware,black,264.72,799.0,203,home_theater_system,2,tv_and_video
204,litware_home_theater_system_71_channel_x711_black,litware,black,367.43,1109.0,203,home_theater_system,2,tv_and_video
205,litware_home_theater_system_51_channel_m514_black,litware,black,275.46,599.0,203,home_theater_system,2,tv_and_video
206,litware_home_theater_system_51_channel_m515_black,litware,black,261.66,569.0,203,home_theater_system,2,tv_and_video
207,litware_home_theater_system_51_channel_m516_black,litware,black,266.26,579.0,203,home_theater_system,2,tv_and_video
208,litware_home_theater_system_41_channel_m410_silver,litware,silver,275.46,599.0,203,home_theater_system,2,tv_and_video
209,litware_home_theater_system_51_channel_m511_silver,litware,silver,321.44,699.0,203,home_theater_system,2,tv_and_video
210,litware_home_theater_system_21_channel_e210_silver,litware,silver,152.44,299.0,203,home_theater_system,2,tv_and_video
211,litware_home_theater_system_51_channel_m510_silver,litware,silver,293.85,639.0,203,home_theater_system,2,tv_and_video
212,litware_home_theater_system_21_channel_e211_silver,litware,silver,137.6,269.9,203,home_theater_system,2,tv_and_video
213,litware_home_theater_system_21_channel_e212_silver,litware,silver,152.9,299.9,203,home_theater_system,2,tv_and_video
214,litware_home_theater_system_41_channel_m411_silver,litware,silver,275.46,599.0,203,home_theater_system,2,tv_and_video
215,litware_home_theater_system_41_channel_m412_silver,litware,silver,261.66,569.0,203,home_theater_system,2,tv_and_video
216,litware_home_theater_system_41_channel_m413_silver,litware,silver,252.47,549.0,203,home_theater_system,2,tv_and_video
217,litware_home_theater_system_51_channel_m512_silver,litware,silver,321.44,699.0,203,home_theater_system,2,tv_and_video
218,litware_home_theater_system_51_channel_m513_silver,litware,silver,316.85,689.0,203,home_theater_system,2,tv_and_video
219,litware_home_theater_system_71_channel_m710_silver,litware,silver,264.72,799.0,203,home_theater_system,2,tv_and_video
220,litware_home_theater_system_71_channel_x711_silver,litware,silver,367.43,1109.0,203,home_theater_system,2,tv_and_video
221,litware_home_theater_system_51_channel_m514_silver,litware,silver,275.46,599.0,203,home_theater_system,2,tv_and_video
222,litware_home_theater_system_51_channel_m515_silver,litware,silver,261.66,569.0,203,home_theater_system,2,tv_and_video
223,litware_home_theater_system_51_channel_m516_silver,litware,silver,266.26,579.0,203,home_theater_system,2,tv_and_video
224,litware_home_theater_system_41_channel_m410_brown,litware,brown,275.46,599.0,203,home_theater_system,2,tv_and_video
225,litware_home_theater_system_51_channel_m511_brown,litware,brown,321.44,699.0,203,home_theater_system,2,tv_and_video
226,litware_home_theater_system_21_channel_e210_brown,litware,brown,152.44,299.0,203,home_theater_system,2,tv_and_video
227,litware_home_theater_system_51_channel_m510_brown,litware,brown,293.85,639.0,203,home_theater_system,2,tv_and_video
228,litware_home_theater_system_21_channel_e211_brown,litware,brown,137.6,269.9,203,home_theater_system,2,tv_and_video
229,litware_home_theater_system_21_channel_e212_brown,litware,brown,152.9,299.9,203,home_theater_system,2,tv_and_video
230,litware_home_theater_system_41_channel_m411_brown,litware,brown,275.46,599.0,203,home_theater_system,2,tv_and_video
231,litware_home_theater_system_41_channel_m412_brown,litware,brown,261.66,569.0,203,home_theater_system,2,tv_and_video
232,litware_home_theater_system_41_channel_m413_brown,litware,brown,252.47,549.0,203,home_theater_system,2,tv_and_video
233,litware_home_theater_system_51_channel_m512_brown,litware,brown,321.44,699.0,203,home_theater_system,2,tv_and_video
234,litware_home_theater_system_51_channel_m513_brown,litware,brown,316.85,689.0,203,home_theater_system,2,tv_and_video
235,litware_home_theater_system_71_channel_m710_brown,litware,brown,264.72,799.0,203,home_theater_system,2,tv_and_video
236,litware_home_theater_system_71_channel_x711_brown,litware,brown,367.43,1109.0,203,home_theater_system,2,tv_and_video
237,litware_home_theater_system_51_channel_m514_brown,litware,brown,275.46,599.0,203,home_theater_system,2,tv_and_video
238,litware_home_theater_system_51_channel_m515_brown,litware,brown,261.66,569.0,203,home_theater_system,2,tv_and_video
239,litware_home_theater_system_51_channel_m516_brown,litware,brown,266.26,579.0,203,home_theater_system,2,tv_and_video
240,contoso_home_theater_system_21_channel_e1200_black,contoso,black,152.44,299.0,203,home_theater_system,2,tv_and_video
241,contoso_home_theater_system_21_channel_m1210_black,contoso,black,167.73,329.0,203,home_theater_system,2,tv_and_video
242,contoso_home_theater_system_71_channel_m1700_black,contoso,black,294.54,889.0,203,home_theater_system,2,tv_and_video
243,contoso_home_theater_system_41_channel_m1400_black,contoso,black,208.52,409.0,203,home_theater_system,2,tv_and_video
244,contoso_home_theater_system_51_channel_m1500_black,contoso,black,197.28,429.0,203,home_theater_system,2,tv_and_video
245,contoso_home_theater_system_51_channel_m1510_black,contoso,black,224.87,489.0,203,home_theater_system,2,tv_and_video
246,contoso_home_theater_system_41_channel_m1410_black,contoso,black,167.73,329.0,203,home_theater_system,2,tv_and_video
